Name,Nation,Team,Position,Age,Matches Played,Starts,Min,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,PrgC,PrgP_x,PrgR_x,Gls90,Ast90,xG90,xAG90,GA90,Save%,CS%,PK Save%,SoT%,SoT/90,G/Sh,Dist,Cmp,Cmp%,TotDist,Short Cmp%,Med Cmp%,Long Cmp%,KP,1/3_x,PPA,CrsPA,PrgP_y,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att_x,Lost_x,Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att_y,Succ%,Tkld%,Carries,ProDist,ProgC,1/3_y,CPA,Mis,Dis,Rec,PrgR_y,Fls,Fld,Off,Crs,Recov,Won,Lost_y,Won%
Kieran Tierney,SCO,Arsenal,"DF,FW",N/a,10.0,1.0,181.0,2.0,0.0,0.0,0.0,0.2,0.9,5.0,12.0,22.0,0.0,0.0,0.1,0.43,N/a,N/a,N/a,N/a,0.0,0.5,0.0,0.0,96.0,82.1,1508.0,55.0,46.0,11.0,-0.9,7.0,7.0,5.0,2.0,8.0,3.98,0.0,0.0,5.0,4.0,5.0,0.0,0.0,0.0,2.0,7.0,133.0,4.0,20.0,46.0,67.0,4.0,133.0,1.0,1.0,33.3,58.0,231.0,125.0,5.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,10.0,0.0,3.0,3.0,5.0
Kieran Trippier,ENG,Newcastle Utd,DF,N/a,23.0,13.0,1192.0,13.2,0.0,3.0,3.0,0.1,1.3,25.0,106.0,52.0,0.0,0.23,0.01,0.1,N/a,N/a,N/a,N/a,0.0,0.23,0.0,0.0,942.0,82.1,16029.0,489.0,453.0,157.0,1.7,19.0,65.0,17.0,2.0,49.0,3.7,0.45,4.0,36.0,19.0,34.0,9.0,3.0,6.0,11.0,47.0,1267.0,45.0,354.0,550.0,371.0,12.0,1267.0,4.0,3.0,42.9,562.0,2080.0,1139.0,25.0,13.0,4.0,11.0,7.0,16.0,10.0,2.0,74.0,0.0,61.0,19.0,14.0
Kiernan Dewsbury-Hall,ENG,Chelsea,"MF,FW",N/a,12.0,2.0,259.0,2.9,0.0,1.0,1.0,0.2,1.1,5.0,14.0,11.0,0.0,0.35,0.08,0.37,N/a,N/a,N/a,N/a,0.0,0.35,0.0,0.0,127.0,83.6,1898.0,82.0,56.0,10.0,-0.1,3.0,12.0,3.0,0.0,5.0,1.73,0.35,1.0,8.0,5.0,6.0,2.0,0.0,2.0,1.0,9.0,181.0,4.0,28.0,95.0,58.0,6.0,181.0,2.0,2.0,50.0,93.0,474.0,221.0,5.0,1.0,0.0,1.0,3.0,4.0,6.0,0.0,2.0,0.0,9.0,0.0,1.0
Kobbie Mainoo,ENG,Manchester Utd,MF,N/a,21.0,17.0,1416.0,15.7,0.0,0.0,0.0,0.6,1.6,21.0,56.0,38.0,0.0,0.0,0.04,0.1,N/a,N/a,N/a,N/a,15.4,0.83,0.13,0.0,627.0,86.1,8304.0,433.0,179.0,39.0,-1.6,14.0,45.0,9.0,0.0,29.0,1.84,0.06,1.0,39.0,24.0,34.0,16.0,2.0,14.0,19.0,58.0,924.0,19.0,175.0,523.0,235.0,32.0,924.0,23.0,21.0,45.7,568.0,2568.0,1089.0,21.0,14.0,10.0,30.0,32.0,26.0,19.0,2.0,4.0,0.0,77.0,18.0,27.0
Konstantinos Mavropanos,GRE,West Ham,DF,N/a,30.0,20.0,1944.0,21.6,0.0,0.0,0.0,1.5,0.5,16.0,60.0,2.0,0.0,0.0,0.07,0.02,N/a,N/a,N/a,N/a,27.8,0.83,0.23,0.0,1010.0,85.9,19926.0,352.0,635.0,166.0,-0.5,5.0,60.0,4.0,1.0,16.0,0.74,0.0,0.0,32.0,22.0,25.0,23.0,17.0,6.0,38.0,70.0,1428.0,221.0,743.0,631.0,62.0,24.0,1428.0,9.0,5.0,29.4,792.0,3915.0,2123.0,16.0,10.0,1.0,12.0,0.0,17.0,14.0,3.0,2.0,0.0,67.0,56.0,24.0
Kosta Nedeljković,SRB,Aston Villa,DF,N/a,5.0,0.0,126.0,1.4,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,0.0,0.0,N/a,47.0,88.7,853.0,23.0,25.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,3.0,1.0,0.0,1.0,0.0,7.0,66.0,4.0,15.0,32.0,19.0,0.0,66.0,1.0,1.0,50.0,27.0,101.0,33.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0
Kostas Tsimikas,GRE,Liverpool,DF,N/a,16.0,7.0,666.0,7.4,0.0,1.0,1.0,0.4,1.8,15.0,67.0,38.0,0.0,0.14,0.05,0.25,N/a,N/a,N/a,N/a,50.0,0.54,0.27,0.0,447.0,83.7,7676.0,227.0,206.0,82.0,-0.8,11.0,39.0,9.0,3.0,23.0,3.1,0.27,1.0,27.0,17.0,19.0,5.0,2.0,3.0,10.0,37.0,607.0,24.0,136.0,280.0,195.0,11.0,607.0,4.0,2.0,25.0,298.0,1262.0,671.0,15.0,5.0,2.0,4.0,4.0,9.0,6.0,1.0,53.0,0.0,26.0,5.0,6.0
Kristoffer Ajer,NOR,Brentford,DF,N/a,20.0,17.0,1388.0,15.4,0.0,0.0,0.0,0.8,1.2,27.0,52.0,42.0,0.0,0.0,0.05,0.08,N/a,N/a,N/a,N/a,37.5,0.52,0.19,0.0,482.0,78.2,7521.0,288.0,237.0,53.0,-1.2,8.0,41.0,7.0,4.0,18.0,1.17,0.13,2.0,24.0,16.0,26.0,17.0,4.0,13.0,12.0,36.0,762.0,51.0,255.0,355.0,158.0,35.0,762.0,7.0,8.0,50.0,373.0,2035.0,1164.0,27.0,11.0,2.0,15.0,12.0,11.0,6.0,1.0,14.0,0.0,41.0,27.0,22.0
Kyle Walker,ENG,Manchester City,DF,N/a,15.0,9.0,970.0,10.8,0.0,0.0,0.0,0.1,0.4,12.0,64.0,11.0,0.0,0.0,0.01,0.04,N/a,N/a,N/a,N/a,40.0,0.46,0.19,0.0,724.0,87.7,11928.0,388.0,334.0,82.0,-0.4,7.0,63.0,7.0,4.0,17.0,1.58,0.0,0.0,17.0,10.0,26.0,13.0,4.0,9.0,3.0,20.0,892.0,26.0,197.0,473.0,228.0,5.0,892.0,3.0,2.0,33.3,499.0,2284.0,1106.0,12.0,13.0,0.0,9.0,2.0,6.0,5.0,1.0,14.0,0.0,46.0,9.0,7.0
Kyle Walker-Peters,ENG,Southampton,DF,N/a,32.0,32.0,2828.0,31.4,0.0,2.0,2.0,0.8,2.7,112.0,134.0,139.0,0.0,0.06,0.03,0.09,N/a,N/a,N/a,N/a,30.0,0.64,0.19,0.0,1450.0,88.0,21806.0,859.0,622.0,91.0,-0.7,23.0,117.0,29.0,4.0,62.0,1.97,0.22,5.0,43.0,28.0,34.0,25.0,14.0,11.0,18.0,61.0,1970.0,149.0,603.0,854.0,529.0,58.0,1970.0,37.0,39.0,43.3,1228.0,7711.0,4264.0,112.0,69.0,23.0,32.0,38.0,28.0,49.0,2.0,51.0,0.0,130.0,11.0,21.0
