Name,Nation,Team,Position,Age,Matches Played,Starts,Min,Goals,Assists,Yellow Cards,Red Cards,xG,xAG,PrgC,PrgP_x,PrgR_x,Gls90,Ast90,xG90,xAG90,GA90,Save%,CS%,PK Save%,SoT%,SoT/90,G/Sh,Dist,Cmp,Cmp%,TotDist,Short Cmp%,Med Cmp%,Long Cmp%,KP,1/3_x,PPA,CrsPA,PrgP_y,SCA,SCA90,GCA,GCA90,Tkl,TklW,Att_x,Lost_x,Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att_y,Succ%,Tkld%,Carries,ProDist,ProgC,1/3_y,CPA,Mis,Dis,Rec,PrgR_y,Fls,Fld,Off,Crs,Recov,Won,Lost_y,Won%
Aaron Cresswell,ENG,West Ham,DF,N/a,14.0,7.0,589.0,6.5,0.0,0.0,0.0,0.1,1.1,4.0,24.0,2.0,0.0,0.0,0.02,0.17,N/a,N/a,N/a,N/a,0.0,0.46,0.0,0.0,355.0,80.7,6769.0,173.0,177.0,82.0,-1.1,7.0,40.0,4.0,1.0,12.0,1.83,0.0,0.0,8.0,4.0,8.0,7.0,4.0,3.0,6.0,14.0,495.0,33.0,196.0,236.0,68.0,1.0,495.0,1.0,0.0,0.0,200.0,773.0,388.0,4.0,7.0,0.0,3.0,0.0,3.0,1.0,0.0,27.0,0.0,21.0,7.0,6.0
Aaron Ramsdale,ENG,Southampton,GK,N/a,26.0,26.0,2340.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,67.5,4.0,7.0,N/a,0.0,0.0,N/a,691.0,64.4,19407.0,197.0,271.0,592.0,0.0,0.0,32.0,1.0,0.0,3.0,0.12,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1154.0,835.0,1132.0,25.0,0.0,0.0,1154.0,0.0,0.0,N/a,701.0,3573.0,2092.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,19.0,5.0,0.0
Aaron Wan-Bissaka,ENG,West Ham,DF,N/a,32.0,31.0,2794.0,31.0,2.0,2.0,4.0,1.2,2.9,98.0,125.0,139.0,0.06,0.06,0.04,0.09,N/a,N/a,N/a,N/a,33.3,0.48,0.16,0.13,1277.0,81.1,18273.0,902.0,489.0,97.0,-0.9,29.0,89.0,30.0,11.0,83.0,2.67,0.23,6.0,61.0,43.0,26.0,31.0,9.0,22.0,59.0,120.0,1960.0,136.0,620.0,838.0,531.0,40.0,1960.0,54.0,35.0,34.7,933.0,5937.0,3303.0,98.0,57.0,12.0,28.0,21.0,22.0,24.0,4.0,64.0,1.0,155.0,22.0,29.0
Abdoulaye Doucouré,MLI,Everton,MF,N/a,30.0,29.0,2425.0,26.9,3.0,1.0,4.0,3.9,2.3,40.0,78.0,91.0,0.11,0.04,0.14,0.09,N/a,N/a,N/a,N/a,31.0,1.08,0.33,0.1,676.0,79.6,10229.0,416.0,301.0,55.0,-1.3,26.0,44.0,14.0,0.0,54.0,2.0,0.07,1.0,45.0,27.0,39.0,30.0,6.0,24.0,9.0,54.0,1090.0,31.0,218.0,502.0,385.0,59.0,1090.0,23.0,20.0,46.5,571.0,2839.0,1339.0,40.0,24.0,8.0,33.0,35.0,46.0,5.0,10.0,23.0,0.0,139.0,29.0,43.0
Abdukodir Khusanov,UZB,Manchester City,DF,N/a,6.0,6.0,503.0,5.6,0.0,0.0,0.0,0.0,0.1,1.0,25.0,2.0,0.0,0.0,0.0,0.02,N/a,N/a,N/a,N/a,0.0,0.18,0.0,0.0,360.0,91.1,6126.0,169.0,197.0,23.0,-0.1,2.0,23.0,0.0,0.0,5.0,0.89,0.0,0.0,5.0,4.0,3.0,5.0,4.0,1.0,3.0,8.0,445.0,45.0,205.0,211.0,31.0,1.0,445.0,0.0,2.0,100.0,274.0,1155.0,435.0,1.0,1.0,0.0,2.0,1.0,3.0,3.0,0.0,1.0,1.0,27.0,6.0,4.0
Abdul Fatawu Issahaku,GHA,Leicester City,FW,N/a,11.0,6.0,579.0,6.4,0.0,2.0,2.0,0.4,1.6,42.0,17.0,60.0,0.0,0.31,0.06,0.24,N/a,N/a,N/a,N/a,38.5,2.02,0.78,0.0,123.0,62.4,2150.0,81.0,59.0,33.0,0.4,6.0,7.0,7.0,2.0,17.0,2.64,0.47,2.0,21.0,15.0,19.0,7.0,0.0,7.0,4.0,25.0,326.0,19.0,73.0,114.0,157.0,26.0,326.0,29.0,28.0,40.6,217.0,1869.0,1055.0,42.0,24.0,15.0,18.0,12.0,11.0,20.0,2.0,30.0,0.0,38.0,14.0,13.0
Adam Armstrong,ENG,Southampton,"FW,MF",N/a,20.0,15.0,1248.0,13.9,2.0,2.0,4.0,3.3,1.2,25.0,21.0,79.0,0.14,0.14,0.24,0.09,N/a,N/a,N/a,N/a,28.0,1.8,0.5,0.08,231.0,80.2,3320.0,158.0,95.0,13.0,0.8,9.0,10.0,8.0,2.0,19.0,1.37,0.29,1.0,12.0,3.0,14.0,6.0,1.0,5.0,3.0,15.0,377.0,11.0,44.0,143.0,192.0,49.0,376.0,6.0,8.0,57.1,235.0,1324.0,599.0,25.0,13.0,6.0,11.0,18.0,12.0,5.0,9.0,14.0,0.0,23.0,5.0,9.0
Adam Lallana,ENG,Southampton,MF,N/a,14.0,5.0,361.0,4.0,0.0,2.0,2.0,0.2,0.9,6.0,24.0,10.0,0.0,0.5,0.04,0.23,N/a,N/a,N/a,N/a,0.0,0.75,0.0,0.0,221.0,85.0,2891.0,165.0,67.0,9.0,1.1,4.0,21.0,9.0,3.0,9.0,2.24,0.5,2.0,8.0,5.0,12.0,4.0,1.0,3.0,5.0,13.0,318.0,19.0,91.0,155.0,73.0,6.0,318.0,5.0,5.0,41.7,178.0,831.0,366.0,6.0,8.0,0.0,10.0,6.0,8.0,8.0,0.0,4.0,0.0,19.0,2.0,2.0
Adam Smith,ENG,Bournemouth,DF,N/a,22.0,17.0,1409.0,15.7,0.0,0.0,0.0,0.7,0.3,12.0,40.0,31.0,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,0.0,0.19,0.0,0.0,436.0,75.7,7088.0,242.0,233.0,72.0,-0.3,7.0,41.0,8.0,5.0,20.0,1.28,0.13,1.0,21.0,10.0,25.0,12.0,5.0,7.0,14.0,35.0,707.0,39.0,217.0,332.0,162.0,6.0,707.0,6.0,6.0,40.0,305.0,1295.0,585.0,12.0,15.0,0.0,10.0,6.0,15.0,11.0,0.0,30.0,0.0,43.0,12.0,13.0
Adam Webster,ENG,Brighton,DF,N/a,11.0,8.0,617.0,6.9,0.0,0.0,0.0,0.0,0.5,7.0,40.0,2.0,0.0,0.0,0.0,0.07,N/a,N/a,N/a,N/a,100.0,0.15,0.15,0.0,429.0,85.6,7934.0,177.0,232.0,79.0,-0.5,3.0,32.0,2.0,0.0,10.0,1.46,0.44,2.0,8.0,5.0,11.0,12.0,9.0,3.0,14.0,22.0,569.0,84.0,279.0,271.0,22.0,8.0,569.0,1.0,2.0,66.7,326.0,1927.0,1142.0,7.0,2.0,0.0,3.0,1.0,5.0,2.0,1.0,1.0,0.0,20.0,17.0,4.0
Adam Wharton,ENG,Crystal Palace,MF,N/a,19.0,15.0,1258.0,14.0,0.0,2.0,2.0,0.3,3.0,14.0,105.0,10.0,0.0,0.14,0.02,0.21,N/a,N/a,N/a,N/a,41.7,0.86,0.36,0.0,521.0,75.6,9826.0,240.0,309.0,103.0,-1.0,25.0,73.0,18.0,5.0,56.0,4.01,0.43,4.0,34.0,14.0,43.0,10.0,2.0,8.0,18.0,52.0,827.0,27.0,196.0,439.0,198.0,10.0,827.0,2.0,8.0,80.0,413.0,1929.0,1021.0,14.0,22.0,2.0,14.0,13.0,12.0,21.0,0.0,35.0,0.0,96.0,7.0,16.0
Adama Traoré,ESP,Fulham,"FW,MF",N/a,32.0,16.0,1568.0,17.4,2.0,6.0,8.0,3.8,4.7,87.0,61.0,143.0,0.11,0.34,0.22,0.27,N/a,N/a,N/a,N/a,30.6,2.07,0.63,0.06,383.0,72.0,5972.0,261.0,177.0,47.0,1.3,37.0,32.0,32.0,17.0,73.0,4.19,0.52,8.0,17.0,12.0,13.0,7.0,0.0,7.0,1.0,18.0,725.0,4.0,74.0,258.0,415.0,86.0,725.0,44.0,33.0,37.5,483.0,4081.0,2232.0,87.0,42.0,33.0,32.0,19.0,20.0,29.0,1.0,90.0,0.0,78.0,24.0,25.0
Albert Grønbaek,DEN,Southampton,"FW,MF",N/a,4.0,2.0,143.0,1.6,0.0,0.0,0.0,0.1,0.0,1.0,1.0,3.0,0.0,0.0,0.07,0.01,N/a,N/a,N/a,N/a,0.0,1.26,0.0,0.0,13.0,72.2,135.0,11.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.26,0.0,0.0,4.0,1.0,10.0,1.0,1.0,0.0,0.0,4.0,38.0,2.0,9.0,14.0,15.0,2.0,38.0,0.0,4.0,100.0,18.0,79.0,15.0,1.0,0.0,1.0,5.0,4.0,0.0,1.0,0.0,1.0,0.0,6.0,2.0,0.0
Alejandro Garnacho,ARG,Manchester Utd,"MF,FW",N/a,33.0,22.0,2056.0,22.8,5.0,1.0,6.0,7.0,3.6,134.0,54.0,274.0,0.22,0.04,0.31,0.16,N/a,N/a,N/a,N/a,34.6,3.55,1.23,0.06,600.0,79.1,8376.0,426.0,199.0,47.0,-2.6,30.0,20.0,22.0,3.0,74.0,3.24,0.18,2.0,28.0,18.0,34.0,19.0,0.0,19.0,13.0,41.0,1078.0,13.0,120.0,340.0,636.0,164.0,1078.0,26.0,51.0,60.0,783.0,5951.0,3035.0,134.0,70.0,65.0,61.0,47.0,11.0,40.0,10.0,50.0,0.0,103.0,3.0,23.0
Alex Iwobi,NGA,Fulham,"FW,MF",N/a,34.0,32.0,2721.0,30.2,9.0,6.0,15.0,4.5,6.5,132.0,196.0,221.0,0.3,0.2,0.15,0.22,N/a,N/a,N/a,N/a,44.3,2.02,0.89,0.15,1037.0,74.4,17737.0,605.0,528.0,166.0,-0.5,53.0,106.0,77.0,16.0,112.0,3.7,0.53,13.0,37.0,21.0,28.0,25.0,1.0,24.0,11.0,48.0,1693.0,31.0,225.0,678.0,815.0,107.0,1693.0,42.0,39.0,45.3,1200.0,7290.0,4024.0,132.0,99.0,37.0,54.0,38.0,17.0,16.0,4.0,118.0,0.0,124.0,5.0,31.0
Alex McCarthy,ENG,Southampton,GK,N/a,5.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,70.3,0.0,2.0,N/a,0.0,0.0,N/a,117.0,75.0,2823.0,43.0,49.0,61.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,141.0,173.0,0.0,0.0,0.0,173.0,0.0,0.0,N/a,100.0,452.0,276.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0
Alex Palmer,ENG,Ipswich Town,GK,N/a,10.0,10.0,900.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.5,60.0,2.0,1.0,N/a,0.0,0.0,N/a,207.0,65.5,6495.0,43.0,85.0,188.0,0.0,1.0,6.0,0.0,0.0,2.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.0,301.0,353.0,7.0,0.0,0.0,359.0,0.0,0.0,N/a,157.0,908.0,538.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,14.0,3.0,0.0
Alex Scott,ENG,Bournemouth,MF,N/a,17.0,7.0,683.0,7.6,0.0,0.0,0.0,0.7,0.8,14.0,48.0,32.0,0.0,0.0,0.09,0.11,N/a,N/a,N/a,N/a,38.5,1.71,0.66,0.0,252.0,82.9,4041.0,141.0,106.0,32.0,-0.8,10.0,37.0,4.0,0.0,27.0,3.55,0.26,2.0,25.0,12.0,38.0,15.0,3.0,12.0,10.0,35.0,437.0,21.0,78.0,237.0,127.0,17.0,437.0,5.0,13.0,52.0,232.0,1285.0,586.0,14.0,8.0,2.0,22.0,8.0,10.0,26.0,0.0,5.0,0.0,49.0,6.0,7.0
Alexander Isak,SWE,Newcastle Utd,FW,N/a,31.0,31.0,2487.0,27.6,22.0,6.0,28.0,19.0,4.0,77.0,77.0,196.0,0.8,0.22,0.69,0.15,N/a,N/a,N/a,N/a,42.5,3.15,1.34,0.22,459.0,74.0,6537.0,327.0,182.0,37.0,2.0,38.0,32.0,26.0,1.0,85.0,3.08,0.51,11.0,12.0,5.0,12.0,18.0,2.0,16.0,3.0,15.0,933.0,20.0,54.0,348.0,545.0,175.0,930.0,42.0,44.0,50.0,558.0,3440.0,1723.0,77.0,40.0,43.0,62.0,50.0,25.0,13.0,20.0,15.0,0.0,54.0,25.0,48.0
Alexis Mac Allister,ARG,Liverpool,MF,N/a,33.0,30.0,2553.0,28.4,5.0,4.0,9.0,2.8,4.4,34.0,170.0,78.0,0.18,0.14,0.1,0.16,N/a,N/a,N/a,N/a,34.2,1.34,0.46,0.13,1245.0,83.4,19843.0,716.0,546.0,154.0,-0.4,43.0,118.0,34.0,2.0,118.0,4.16,0.49,10.0,95.0,58.0,101.0,60.0,6.0,54.0,22.0,117.0,1827.0,55.0,279.0,944.0,624.0,60.0,1827.0,16.0,21.0,50.0,893.0,3646.0,1924.0,34.0,41.0,5.0,31.0,22.0,60.0,39.0,2.0,84.0,0.0,145.0,19.0,34.0
Ali Al Hamadi,IRQ,Ipswich Town,FW,N/a,11.0,0.0,134.0,1.5,0.0,0.0,0.0,0.4,0.1,4.0,3.0,14.0,0.0,0.0,0.24,0.05,N/a,N/a,N/a,N/a,0.0,2.69,0.0,0.0,25.0,83.3,278.0,23.0,7.0,0.0,-0.1,2.0,0.0,0.0,0.0,8.0,5.37,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,53.0,2.0,6.0,20.0,30.0,9.0,53.0,4.0,3.0,42.9,29.0,187.0,111.0,4.0,3.0,4.0,7.0,4.0,8.0,3.0,1.0,0.0,0.0,4.0,5.0,9.0
Alisson,BRA,Liverpool,GK,N/a,24.0,24.0,2148.0,23.9,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.84,71.8,5.0,0.0,N/a,0.0,0.0,N/a,630.0,83.1,13996.0,185.0,343.0,226.0,-0.6,1.0,10.0,0.0,0.0,6.0,0.25,0.04,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,801.0,577.0,786.0,15.0,0.0,0.0,801.0,1.0,0.0,0.0,509.0,1996.0,1152.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,41.0,6.0,0.0
Alphonse Areola,FRA,West Ham,GK,N/a,23.0,22.0,1990.0,22.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.72,63.1,6.0,0.0,N/a,0.0,0.0,N/a,615.0,70.4,16400.0,134.0,314.0,415.0,0.0,0.0,9.0,0.0,0.0,3.0,0.14,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,927.0,740.0,918.0,10.0,0.0,0.0,927.0,0.0,0.0,N/a,530.0,2157.0,1174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,2.0,0.0
Amad Diallo,CIV,Manchester Utd,"FW,MF",N/a,22.0,17.0,1594.0,17.7,6.0,6.0,12.0,4.1,3.9,92.0,53.0,159.0,0.34,0.34,0.23,0.22,N/a,N/a,N/a,N/a,32.5,2.26,0.73,0.15,658.0,82.9,9051.0,450.0,217.0,63.0,2.1,39.0,25.0,29.0,5.0,80.0,4.52,0.9,7.0,33.0,26.0,26.0,10.0,0.0,10.0,11.0,44.0,1012.0,13.0,150.0,374.0,504.0,109.0,1012.0,36.0,32.0,44.4,656.0,4482.0,2294.0,92.0,46.0,52.0,35.0,32.0,19.0,23.0,9.0,38.0,0.0,93.0,9.0,15.0
Amadou Onana,BEL,Aston Villa,MF,N/a,22.0,17.0,1348.0,15.0,3.0,0.0,3.0,2.1,0.3,20.0,58.0,13.0,0.2,0.0,0.14,0.02,N/a,N/a,N/a,N/a,35.3,1.14,0.4,0.18,589.0,88.4,9251.0,319.0,278.0,35.0,-0.3,7.0,52.0,8.0,1.0,25.0,1.67,0.27,2.0,46.0,24.0,24.0,14.0,6.0,8.0,24.0,70.0,836.0,60.0,227.0,490.0,132.0,20.0,836.0,11.0,3.0,17.6,459.0,2351.0,1237.0,20.0,20.0,1.0,10.0,9.0,30.0,23.0,0.0,1.0,0.0,64.0,25.0,18.0
Andreas Pereira,BRA,Fulham,MF,N/a,31.0,23.0,1879.0,20.9,2.0,4.0,6.0,3.5,4.5,27.0,99.0,78.0,0.1,0.19,0.17,0.21,N/a,N/a,N/a,N/a,22.9,1.68,0.38,0.06,641.0,68.9,11658.0,354.0,313.0,212.0,-0.5,56.0,64.0,19.0,4.0,101.0,4.84,0.38,4.0,22.0,12.0,40.0,16.0,2.0,14.0,8.0,30.0,1096.0,17.0,156.0,446.0,511.0,39.0,1095.0,13.0,8.0,27.6,556.0,2647.0,1266.0,27.0,35.0,8.0,26.0,21.0,27.0,23.0,1.0,168.0,0.0,97.0,12.0,21.0
Andrew Robertson,SCO,Liverpool,DF,N/a,31.0,27.0,2308.0,25.6,0.0,0.0,0.0,1.0,4.1,58.0,165.0,95.0,0.0,0.0,0.04,0.16,N/a,N/a,N/a,N/a,15.4,0.51,0.08,0.0,1456.0,83.0,24521.0,758.0,718.0,220.0,-4.1,38.0,144.0,28.0,16.0,75.0,2.92,0.12,3.0,38.0,22.0,47.0,9.0,4.0,5.0,20.0,58.0,1947.0,86.0,500.0,882.0,578.0,50.0,1947.0,7.0,10.0,55.6,1028.0,4511.0,2588.0,58.0,48.0,6.0,25.0,11.0,11.0,8.0,2.0,136.0,1.0,91.0,6.0,12.0
André,BRA,Wolves,MF,N/a,29.0,27.0,2170.0,24.1,0.0,0.0,0.0,0.4,0.7,8.0,92.0,11.0,0.0,0.0,0.01,0.03,N/a,N/a,N/a,N/a,12.5,0.33,0.04,0.0,1074.0,92.7,16897.0,577.0,438.0,82.0,-0.7,14.0,97.0,4.0,0.0,43.0,1.78,0.12,2.0,76.0,46.0,56.0,40.0,8.0,32.0,32.0,108.0,1402.0,80.0,380.0,905.0,131.0,3.0,1402.0,13.0,9.0,34.6,768.0,3190.0,1386.0,8.0,14.0,0.0,27.0,17.0,34.0,32.0,0.0,0.0,0.0,172.0,2.0,6.0
André Onana,CMR,Manchester Utd,GK,N/a,33.0,33.0,2970.0,33.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.01,1.3,69.0,9.0,4.0,N/a,0.0,0.0,N/a,920.0,73.1,21868.0,220.0,516.0,513.0,-0.2,1.0,24.0,0.0,0.0,4.0,0.12,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1323.0,1005.0,1302.0,22.0,0.0,0.0,1323.0,0.0,0.0,N/a,932.0,4682.0,2615.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,33.0,6.0,0.0
Andrés García,ESP,Aston Villa,"DF,MF",N/a,7.0,5.0,318.0,3.5,0.0,0.0,0.0,0.0,0.2,26.0,15.0,28.0,0.0,0.0,0.01,0.05,N/a,N/a,N/a,N/a,0.0,0.57,0.0,0.0,174.0,86.6,2725.0,96.0,82.0,13.0,-0.2,3.0,9.0,8.0,5.0,3.0,0.85,0.0,0.0,9.0,5.0,8.0,2.0,0.0,2.0,2.0,11.0,256.0,8.0,38.0,108.0,112.0,2.0,256.0,5.0,12.0,66.7,159.0,1262.0,673.0,26.0,13.0,2.0,10.0,6.0,1.0,0.0,0.0,18.0,0.0,15.0,0.0,6.0
Andy Irving,SCO,West Ham,MF,N/a,10.0,1.0,166.0,1.8,0.0,0.0,0.0,0.1,0.2,0.0,9.0,4.0,0.0,0.0,0.06,0.13,N/a,N/a,N/a,N/a,50.0,2.17,1.08,0.0,109.0,87.9,1705.0,64.0,43.0,9.0,-0.2,1.0,14.0,1.0,1.0,5.0,2.68,0.0,0.0,7.0,4.0,5.0,5.0,1.0,4.0,1.0,8.0,150.0,7.0,37.0,89.0,24.0,0.0,150.0,1.0,0.0,0.0,73.0,305.0,137.0,0.0,1.0,0.0,1.0,3.0,6.0,1.0,0.0,2.0,0.0,10.0,1.0,1.0
Anthony Elanga,SWE,Nott'ham Forest,FW,N/a,33.0,26.0,2052.0,22.8,6.0,9.0,15.0,3.9,4.4,79.0,47.0,164.0,0.26,0.39,0.17,0.19,N/a,N/a,N/a,N/a,45.7,1.54,0.7,0.17,426.0,65.3,6133.0,308.0,174.0,102.0,4.6,40.0,26.0,23.0,7.0,82.0,3.6,0.61,10.0,17.0,12.0,16.0,9.0,1.0,8.0,5.0,22.0,900.0,29.0,124.0,259.0,533.0,86.0,900.0,22.0,34.0,46.6,468.0,3650.0,2071.0,79.0,41.0,36.0,65.0,35.0,7.0,32.0,13.0,142.0,0.0,79.0,22.0,33.0
Anthony Gordon,ENG,Newcastle Utd,FW,N/a,30.0,25.0,2200.0,24.4,6.0,5.0,11.0,8.0,4.9,109.0,92.0,194.0,0.25,0.2,0.33,0.2,N/a,N/a,N/a,N/a,29.1,2.25,0.65,0.09,661.0,73.1,10125.0,431.0,283.0,116.0,0.1,50.0,59.0,50.0,16.0,98.0,4.01,0.49,9.0,31.0,17.0,34.0,24.0,2.0,22.0,6.0,37.0,1165.0,16.0,115.0,439.0,630.0,123.0,1163.0,35.0,45.0,46.9,748.0,5575.0,2978.0,109.0,55.0,55.0,28.0,35.0,19.0,62.0,8.0,120.0,0.0,92.0,5.0,7.0
Antoine Semenyo,GHA,Bournemouth,FW,N/a,33.0,33.0,2907.0,32.3,9.0,4.0,13.0,9.3,5.7,132.0,106.0,259.0,0.28,0.12,0.29,0.18,N/a,N/a,N/a,N/a,31.4,3.65,1.15,0.08,728.0,73.3,10406.0,515.0,303.0,82.0,-1.7,44.0,48.0,44.0,8.0,122.0,3.78,0.37,7.0,53.0,34.0,42.0,59.0,8.0,51.0,10.0,63.0,1485.0,44.0,181.0,520.0,817.0,176.0,1485.0,64.0,50.0,40.7,898.0,6776.0,3357.0,132.0,64.0,64.0,78.0,71.0,65.0,36.0,14.0,52.0,0.0,147.0,60.0,72.0
Antonee Robinson,USA,Fulham,DF,N/a,33.0,32.0,2899.0,32.2,0.0,10.0,10.0,0.7,4.1,110.0,120.0,257.0,0.0,0.31,0.02,0.13,N/a,N/a,N/a,N/a,12.5,0.5,0.06,0.0,1482.0,76.5,25356.0,821.0,797.0,219.0,5.9,41.0,109.0,50.0,26.0,74.0,2.3,0.34,11.0,84.0,56.0,86.0,36.0,6.0,30.0,56.0,140.0,2339.0,121.0,741.0,893.0,739.0,65.0,2339.0,33.0,31.0,41.3,1252.0,6834.0,3937.0,110.0,59.0,29.0,40.0,18.0,30.0,17.0,6.0,158.0,0.0,142.0,45.0,25.0
Antony,BRA,Manchester Utd,"DF,MF",N/a,8.0,0.0,141.0,1.6,0.0,0.0,0.0,1.0,0.1,5.0,6.0,7.0,0.0,0.0,0.65,0.08,N/a,N/a,N/a,N/a,50.0,3.83,1.91,0.0,56.0,81.2,688.0,51.0,14.0,1.0,-0.1,3.0,1.0,5.0,2.0,8.0,5.11,0.0,0.0,6.0,3.0,5.0,2.0,0.0,2.0,2.0,8.0,101.0,2.0,22.0,26.0,54.0,8.0,101.0,4.0,6.0,54.5,60.0,317.0,182.0,5.0,6.0,1.0,5.0,1.0,2.0,5.0,0.0,5.0,0.0,11.0,0.0,1.0
Antonín Kinský,CZE,Tottenham,GK,N/a,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.02,1.75,56.3,0.0,0.0,N/a,0.0,0.0,N/a,116.0,80.0,2699.0,17.0,76.0,48.0,-0.1,1.0,2.0,0.0,0.0,1.0,0.25,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,156.0,134.0,154.0,2.0,0.0,0.0,156.0,0.0,0.0,N/a,97.0,444.0,267.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0
Archie Gray,ENG,Tottenham,"DF,MF",N/a,24.0,15.0,1391.0,15.5,0.0,0.0,0.0,0.0,0.1,5.0,32.0,15.0,0.0,0.0,0.0,0.01,N/a,N/a,N/a,N/a,100.0,0.06,0.06,0.0,912.0,88.6,15954.0,376.0,538.0,84.0,-0.1,2.0,37.0,0.0,0.0,5.0,0.32,0.0,0.0,12.0,6.0,16.0,19.0,10.0,9.0,12.0,24.0,1138.0,134.0,546.0,520.0,82.0,2.0,1138.0,5.0,4.0,40.0,798.0,3660.0,1496.0,5.0,5.0,0.0,9.0,10.0,9.0,11.0,0.0,12.0,1.0,57.0,9.0,8.0
Arijanet Muric,KVX,Ipswich Town,GK,N/a,18.0,18.0,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.83,70.0,6.0,3.0,N/a,0.0,0.0,N/a,454.0,71.7,11705.0,122.0,221.0,283.0,0.0,0.0,14.0,0.0,0.0,1.0,0.06,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,689.0,559.0,672.0,18.0,0.0,0.0,689.0,0.0,0.0,N/a,405.0,2088.0,1178.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,26.0,11.0,1.0
Armando Broja,ALB,Everton,FW,N/a,10.0,4.0,334.0,3.7,0.0,0.0,0.0,0.1,0.2,12.0,2.0,26.0,0.0,0.0,0.03,0.05,N/a,N/a,N/a,N/a,0.0,1.08,0.0,0.0,53.0,72.6,594.0,45.0,12.0,3.0,-0.2,4.0,3.0,0.0,0.0,7.0,1.89,0.0,0.0,3.0,1.0,0.0,3.0,0.0,3.0,1.0,4.0,127.0,4.0,14.0,47.0,72.0,18.0,127.0,8.0,7.0,43.8,64.0,577.0,281.0,12.0,8.0,3.0,16.0,13.0,6.0,4.0,3.0,1.0,0.0,9.0,18.0,21.0
Armel Bella Kotchap,GER,Southampton,DF,N/a,4.0,2.0,331.0,3.7,0.0,0.0,0.0,0.3,0.0,0.0,5.0,0.0,0.0,0.0,0.09,0.0,N/a,N/a,N/a,N/a,0.0,0.27,0.0,0.0,202.0,90.2,3829.0,66.0,123.0,29.0,0.0,0.0,6.0,0.0,0.0,2.0,0.54,0.0,0.0,7.0,5.0,6.0,2.0,2.0,0.0,5.0,12.0,263.0,33.0,147.0,115.0,3.0,1.0,263.0,0.0,1.0,100.0,186.0,936.0,326.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,19.0,6.0,5.0
Ashley Young,ENG,Everton,"DF,FW",N/a,28.0,17.0,1613.0,17.9,1.0,3.0,4.0,0.3,1.6,20.0,82.0,26.0,0.06,0.17,0.01,0.09,N/a,N/a,N/a,N/a,50.0,0.33,0.17,0.17,606.0,70.0,11151.0,330.0,310.0,183.0,1.4,19.0,71.0,18.0,9.0,37.0,2.06,0.33,4.0,50.0,28.0,50.0,10.0,3.0,7.0,23.0,73.0,1034.0,51.0,314.0,448.0,277.0,9.0,1034.0,5.0,7.0,50.0,409.0,2111.0,1210.0,20.0,24.0,1.0,8.0,1.0,24.0,17.0,0.0,64.0,0.0,61.0,10.0,10.0
